epoch,train_loss,val_accuracy,val_macro_f1,val_pos_f1
1,0.9948293348801194,0.762301918265221,0.5954604055162714,0.3356643356643357
2,0.9017164108695012,0.7673060884070059,0.6360741557069672,0.4175365344467641
3,0.8821662769966663,0.7698081734778982,0.6263076589517047,0.39473684210526316
4,0.8758076077027477,0.7698081734778982,0.6460403029136184,0.43673469387755104
5,0.8707396698766865,0.7723102585487907,0.6450112083914901,0.43243243243243246
6,0.8686941495324846,0.7673060884070059,0.6510815792026384,0.44970414201183434
7,0.8689780385974637,0.7664720600500416,0.6590539793961847,0.467680608365019
8,0.8663379650754808,0.7522935779816514,0.6482922912364184,0.4570383912248629
9,0.8657475725843714,0.7689741451209341,0.6584772698994423,0.46421663442940037
10,0.8643441934456444,0.7689741451209341,0.6484715764338794,0.4426559356136821
