epoch,train_loss,val_accuracy,val_macro_f1,val_pos_f1
1,1.001004047048043,0.7714762301918265,0.562175489098566,0.2594594594594595
2,0.9033527264891515,0.762301918265221,0.6316952376846428,0.41237113402061853
3,0.8798147658814981,0.7714762301918265,0.6453643013204142,0.43388429752066116
4,0.8718733302512187,0.7731442869057548,0.6266849816849817,0.39285714285714285
5,0.8673006102254254,0.7773144286905754,0.6538896907383682,0.4472049689440994
6,0.8639465340229145,0.7698081734778982,0.6512918861959958,0.448
7,0.8612255200162283,0.76814011676397,0.6548146705991517,0.45703125
8,0.8588094732860353,0.762301918265221,0.6562378966746978,0.4652908067542214
9,0.8570172838745919,0.7773144286905754,0.6506307315044902,0.44025157232704404
10,0.8580769544804816,0.7597998331943286,0.6549226525962346,0.4646840148698885
