epoch,train_loss,val_accuracy,val_macro_f1,val_pos_f1
1,0.9974565108298575,0.7698081734778982,0.6016611295681062,0.34285714285714286
2,0.8964254119891907,0.7639699749791493,0.6365113695646818,0.4212678936605317
3,0.8804899009285435,0.7698081734778982,0.6533288077638658,0.4523809523809524
4,0.8731305761046744,0.7706422018348624,0.65805278053465,0.461839530332681
5,0.8685938779436584,0.76814011676397,0.6548146705991517,0.45703125
6,0.8648143210089103,0.7572977481234362,0.6553974974740666,0.4680073126142596
7,0.8622207364975695,0.7606338615512928,0.6519544331400494,0.45746691871455575
8,0.8610987792821273,0.7656380316930775,0.6525694899174526,0.45436893203883494
9,0.8602521802659938,0.7664720600500416,0.6503353747448235,0.44881889763779526
10,0.8580238458818449,0.7564637197664721,0.6492016288054892,0.4552238805970149
