epoch,train_loss,val_accuracy,val_macro_f1,val_pos_f1
1,1.0128797679454613,0.7547956630525438,0.5922674402465091,0.334841628959276
2,0.9065706595345739,0.7689741451209341,0.6352401087284808,0.4143763213530655
3,0.8873963874970319,0.7656380316930775,0.6323117436433024,0.4109014675052411
4,0.8809104235376582,0.7664720600500416,0.6419948984379665,0.43089430894308944
5,0.8781151455735302,0.7597998331943286,0.64034495688039,0.4330708661417323
6,0.8751997648448459,0.7514595496246872,0.6361397834570295,0.4312977099236641
7,0.8746743511223398,0.7597998331943286,0.639305083187793,0.4308300395256917
8,0.8725690357234417,0.7698081734778982,0.6359760283013887,0.4152542372881356
9,0.8724490542282677,0.7564637197664721,0.6332319270545247,0.42063492063492064
10,0.8729462248956629,0.7572977481234362,0.6339545838425908,0.42147117296222664
