epoch,train_loss,val_accuracy,val_macro_f1,val_pos_f1
1,1.0005653928185494,0.7706422018348624,0.557639959376262,0.2506811989100817
2,0.9134160825196549,0.773978315262719,0.6051631640024546,0.3469879518072289
3,0.8857323201437929,0.7673060884070059,0.6405539312550166,0.4271047227926078
4,0.8760283888182749,0.7656380316930775,0.6628642216945496,0.4767225325884544
5,0.8684776509676773,0.7589658048373644,0.6595145706433251,0.47549909255898365
6,0.866071862076855,0.7664720600500416,0.6419948984379665,0.43089430894308944
7,0.8632577933794501,0.7656380316930775,0.6454965661718208,0.43912175648702595
8,0.8613495575793388,0.7656380316930775,0.6475613646943141,0.44356435643564357
9,0.860132794371268,0.7614678899082569,0.6488551650692226,0.45
10,0.8584329984775525,0.7764804003336113,0.6395522053214878,0.41739130434782606
