epoch,train_loss,val_accuracy,val_macro_f1,val_pos_f1
1,0.9930232112662116,0.749791492910759,0.6043217698928137,0.3644067796610169
2,0.9002187031062554,0.7656380316930775,0.6346086064395924,0.4158004158004158
3,0.8825134709198675,0.7639699749791493,0.6419199642043434,0.43286573146292584
4,0.8764379512875046,0.7689741451209341,0.6386829431212542,0.42171189979123175
5,0.8740250301641427,0.7723102585487907,0.6427797367068384,0.4276729559748428
6,0.8712987957972587,0.7639699749791493,0.6470965708824016,0.444007858546169
7,0.8693181128716821,0.7673060884070059,0.6337728877576155,0.4126315789473684
8,0.8671457080434992,0.7664720600500416,0.643069778518695,0.4331983805668016
9,0.8664596200562746,0.76814011676397,0.6368091875871688,0.41841004184100417
10,0.8659887033075482,0.7673060884070059,0.6438101930970597,0.4340770791075051
