epoch,train_loss,val_accuracy,val_macro_f1,val_pos_f1
1,0.9892074653602382,0.7606338615512928,0.6026707002361255,0.35214446952595935
2,0.9010433167266948,0.7606338615512928,0.6389861359547202,0.4294234592445328
3,0.8788923765171791,0.7756463719766472,0.6167722372528122,0.3700234192037471
4,0.8730389517767638,0.76814011676397,0.630970727602852,0.405982905982906
5,0.8686935249314511,0.762301918265221,0.6562378966746978,0.4652908067542214
6,0.8661420342651638,0.7706422018348624,0.6550867448076028,0.45544554455445546
7,0.8641942260462014,0.7714762301918265,0.6507182832647229,0.44534412955465585
8,0.8633715308712868,0.76814011676397,0.6577240614474658,0.46332046332046334
9,0.8626430981218252,0.7639699749791493,0.6510796656373364,0.4526112185686654
10,0.8595564067310644,0.762301918265221,0.6425444446187883,0.43564356435643564
